:cityname (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statefips (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statename (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statecity (?:"?(?<current>.*?)"?),(?<remains>.*) string
:type (?:"?(?<current>.*?)"?),(?<remains>.*) string
:is_capital (?:"?(?<current>[nNyYfFtT])"?),(?<remains>.*) string
:sdo_gtype (?<current>^[0-9]*),(?<remains>.*) int
:sdo_srid (?<current>^[0-9]*),(?<remains>.*) int
:sdo_element_info_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
:sdo_ordinate_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
!enddescription
!data
 99,"80010","Yakima","53","Washington","5380010","city","N",2001,8265,1,1,1,/-120.528900148533,46.5926284587363,/
 100,"51900","Marquette","26","Michigan","2651900","city","N",2001,8265,1,1,1,/-87.416542045956,46.5299873215089,/
 101,"71740","Sault Ste. Marie","26","Michigan","2671740","city","N",2001,8265,1,1,1,/-84.3654632737323,46.4782600320189,/
 102,"46540","Lewiston","16","Idaho","1646540","city","N",2001,8265,1,1,1,/-116.992202740232,46.3929099911475,/
 103,"07300","Brainerd","27","Minnesota","2707300","city","N",2001,8265,1,1,1,/-94.1940994071451,46.3543701263696,/
 104,"68750","Sunnyside","53","Washington","5368750","city","N",2001,8265,1,1,1,/-120.012496966634,46.320968645972,/
 105,"58235","Richland","53","Washington","5358235","city","N",2001,8265,1,1,1,/-119.290702825835,46.293998734394,/
 106,"20906","Fergus Falls","27","Minnesota","2720906","city","N",2001,8265,1,1,1,/-96.067649845787,46.2821197329272,/
 107,"53545","Pasco","53","Washington","5353545","city","N",2001,8265,1,1,1,/-119.127799991786,46.2520713623628,/
 108,"35275","Kennewick","53","Washington","5335275","city","N",2001,8265,1,1,1,/-119.170402539808,46.2030486966463,/
 109,"03150","Astoria","41","Oregon","4103150","city","N",2001,8265,1,1,1,/-123.801162699733,46.188030236927,/
 110,"40245","Longview","53","Washington","5340245","city","N",2001,8265,1,1,1,/-122.95490266166,46.1464996464029,/
 111,"35065","Kelso","53","Washington","5335065","city","N",2001,8265,1,1,1,/-122.891403218515,46.1264496060723,/
 112,"75775","Walla Walla","53","Washington","5375775","city","N",2001,8265,1,1,1,/-118.341201772276,46.0668983349143,/
 113,"01675","Anaconda-Deer Lodge County","30","Montana","3001675","city/county","N",2001,8265,1,1,1,/-113.083602892873,46.0658302091387,/
 46,"48855","Newport Hills","53","Washington","5348855","census designated place","N",2001,8265,1,1,1,/-122.17400357935,47.5475311404388,/
 47,"32800","Great Falls","30","Montana","3032800","city","N",2001,8265,1,1,1,/-111.2906036366,47.5047988863958,/
 48,"78242","White Center-Shorewood","53","Washington","5378242","census designated place","N",2001,8265,1,1,1,/-122.349800116736,47.501998909979,/
 49,"58878","Riverton-Boulevard Park","53","Washington","5358878","census designated place","N",2001,8265,1,1,1,/-122.309196450798,47.4976196471503,/
 50,"08552","Bryn Mawr-Skyway","53","Washington","5308552","census designated place","N",2001,8265,1,1,1,/-122.238197313058,47.4952507175323,/
 51,"19857","East Renton Highlands","53","Washington","5319857","census designated place","N",2001,8265,1,1,1,/-122.111198426768,47.4850997790266,/
 52,"05068","Bemidji","27","Minnesota","2705068","city","N",2001,8265,1,1,1,/-94.8785629220453,47.4823188731384,/
 53,"57745","Renton","53","Washington","5357745","city","N",2001,8265,1,1,1,/-122.196601847502,47.4818802069367,/
 54,"72625","Tukwila","53","Washington","5372625","city","N",2001,8265,1,1,1,/-122.268302939251,47.4776992687974,/
 55,"08850","Burien","53","Washington","5308850","census designated place","N",2001,8265,1,1,1,/-122.346397414719,47.4649314838012,/
 56,"10372","Cascade-Fairwood","53","Washington","5310372","census designated place","N",2001,8265,1,1,1,/-122.162696825871,47.4492301846449,/
 57,"62288","Sea-Tac","53","Washington","5362288","census designated place","N",2001,8265,1,1,1,/-122.297798176399,47.4434814552622,/
 58,"20190","East Wenatchee Bench","53","Washington","5320190","census designated place","N",2001,8265,1,1,1,/-120.280097971919,47.4259185994442,/
 59,"77105","Wenatchee","53","Washington","5377105","city","N",2001,8265,1,1,1,/-120.324897770759,47.4256591874032,/
