'PT', 'RZZ', 'I', NULL, 54,    NULL, 328, 6, 'Precipitation, type ', '(coded, see Table 17)'
'PY', 'RZZ', 'D', 'PPDRZZZ', 36,    NULL, 19, 1, 'Precipitation, increment ending at 7 a.m. local just prior to date-time stamp, translates to PPDRZZZ at 7 a.m. local time ', '(IN, MM)'
'QA', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, adjusted for storage at project only ', '(KCFS, CMS)'
'QB', 'RZZ', 'I', NULL, 36,    NULL, 9, 6, 'Runoff depth ', '(IN, MM)'
'QC', 'RZZ', 'D', NULL, 81,    NULL, 24, 1, 'Runoff volume ', '(KAF, MCM)'
'QD', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, canal diversion ', '(KCFS, CMS)'
'QE', 'RZZ', 'I', NULL, 53,    NULL, 1, 6, 'Discharge, percent of flow diverted from channel ', '(%)'
'QF', 'RZZ', 'I', NULL, 48,    NULL, 22, 6, 'Discharge velocity ', '(MPH, KPH)'
'QG', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge from power generation ', '(KCFS, CMS)'
'QI', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, inflow ', '(KCFS, CMS)'
'QL', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, rule curve ', '(KCFS, CMS)'
'QM', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, preproject conditions in basin ', '(KCFS, CMS)'
'QN', 'RZN', 'I', 'QRIRZNZ', 75,    NULL, 14, 3, 'Discharge, minimum flow, translates to QRIRZNZ ', '(KCFS, CMS)'
'QP', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, pumping ', '(KCFS, CMS)'
'QR', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, river ', '(KCFS, CMS)'
'QS', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, spillway ', '(KCFS, CMS)'
'QT', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, computed total project outflow ', '(KCFS, CMS)'
'QU', 'RZZ', 'I', NULL, 75,    NULL, 14, 6, 'Discharge, controlled by regulating outlet ', '(KCFS, CMS)'
'QV', 'RZZ', 'D', NULL, 81,    NULL, 24, 1, 'Cumulative volume increment ', '(KAF, MCM)'
'QX', 'RZX', 'I', 'QRIRZXZ', 75,    NULL, 14, 2, 'Discharge, maximum flow, translates to QRIRZXZ ', '(KCFS, CMS)'
'QY', 'RZZ', 'I', 'QRIRZZZ', 75,    NULL, 14, 6, 'Discharge, river at 7 a.m. local just prior to date-time stamp translates to QRIRZZZ at 7 a.m. local time ', '(KCFS, CMS)'
'RA', 'RZZ', 'I', NULL, 53,    NULL, 329, 6, 'Radiation, albedo ', '(%)'
'RI', 'RZZ', 'D', NULL, NULL,    NULL, 21, 1, 'Radiation, accumulated incoming solar over specified duration in langleys ', '(LY)'
'RN', 'RZZ', 'I', NULL, 31,    NULL, 330, 6, 'Radiation, net radiometers ', '(watts/meter squared)'
'RP', 'RZZ', 'D', NULL, 53,    NULL, 331, 1, 'Radiation, sunshine percent of possible ', '(%)'
'RT', 'RZZ', 'D', NULL, NULL,    NULL, 27, 1, 'Radiation, sunshine hours ', '(HRS)'
'RW', 'RZZ', 'I', NULL, 31,    NULL, 32, 6, 'Radiation, total incoming solar radiation ', '(watts/meter squared)'
'SA', 'RZZ', 'I', NULL, 53,    NULL, 0, 6, 'Snow, areal extent of basin snow cover ', '(%)'
'SD', 'RZZ', 'I', NULL, 36,    NULL, 0, 6, 'Snow, depth ', '(IN, CM)'
'SF', 'RZZ', 'S', NULL, 36,    NULL, 0, 6, 'Snow, depth, new snowfall ', '(IN, CM)'
'SI', 'RZZ', 'I', NULL, 36,    NULL, 0, 6, 'Snow, depth on top of river or lake ice ', '(IN, CM)'
'SL', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Snow, elevation of snow line ', '(KFT, M)'
'SR', 'RZZ', 'I', NULL, 54,    NULL, 0, 6, 'Snow report, structure, type, surface, and bottom ', '(coded, see Table 15)'
'SS', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Snow density ', '(IN SWE/IN snow, CM SWE/CM snow)'
'ST', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Snow temperature at depth measured from ground ', '(See Chapter 7.4.6 for format)'
'SW', 'RZZ', 'I', NULL, 36,    NULL, 0, 6, 'Snow, water equivalent ', '(IN, MM)'
'TA', 'RZZ', 'I', NULL, 68,    NULL, 332, 6, 'Temperature, air, dry bulb ', '(DF,DC)'
'TB', 'RZZ', 'I', NULL, 68,    NULL, 333, 6, 'Temperature in bare soil at depth ', '(coded, see Chapter 7.4.6 for format)'
'TC', 'RZZ', 'S', NULL, 68,    NULL, 334, 1, 'Temperature, degree days of cooling, above 65 DF or 18.3 DC ', '(DF,DC)'
'TD', 'RZZ', 'I', NULL, 68,    NULL, 335, 6, 'Temperature, dew point ', '(DF,DC)'
'TE', 'RZZ', 'I', NULL, 68,    NULL, 316, 6, 'Temperature, air temperature at elevation above MSL ', '(See Chapter 7.4.6 for format)'
'TF', 'RZZ', 'S', NULL, 68,    NULL, 336, 1, 'Temperature, degree days of freezing, below 32 DF or 0 DC ', '(DF,DC)'
'TH', 'RZZ', 'S', NULL, 68,    NULL, 337, 1, 'Temperature, degree days of heating, below 65 DF or 18.3 DC ', '(DF,DC)'
'TM', 'RZZ', 'I', NULL, 68,    NULL, 338, 6, 'Temperature, air, wet bulb ', '(DF,DC)'
'TN', 'RZN', 'I', 'TAIRZNZ', 68,    NULL, 316, 3, 'Temperature, air minimum, translates to TAIRZNZ ', '(DF,DC)'
'TP', 'RZZ', 'I', NULL, 68,    NULL, 339, 6, 'Temperature, pan water ', '(DF,DC)'
'TS', 'RZZ', 'I', NULL, 68,    NULL, 333, 6, 'Temperature, bare soil at the surface ', '(DF,DC)'
'TV', 'RZZ', 'I', NULL, 68,    NULL, 340, 6, 'Temperature in vegetated soil at depth ', '(coded, see Chapter 7.4.6 for format)'
'TW', 'RZZ', 'I', NULL, 68,    NULL, 317, 6, 'Temperature, water ', '(DF,DC)'
'TX', 'RZX', 'I', 'TAIRZXZ', 68,    NULL, 316, 2, 'Temperature, air maximum, translates to TAIRZXZ ', '(DF,DC)'
'UC', 'RZZ', 'D', NULL, 39,    NULL, 341, 1, 'Wind, accumulated wind travel ', '(MI,KM)'
'UD', 'RZZ', 'I', NULL, 1,    NULL, 342, 6, 'Wind, direction ', '(whole degrees)'
'UG', 'RZZ', 'I', NULL, 48,    NULL, 343, 6, 'Wind, gust at observation time ', '(MI/HR,M/SEC)'
'UL', 'RZZ', 'D', NULL, 39,    NULL, 341, 1, 'Wind, travel length accumulated over specified ', '(MI,KM)'
'UP', 'RZZ', 'I', NULL, 48,    NULL, 344, 6, 'Peak wind speed ', '(MPH)'
'UQ', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Wind direction and speed combined , a value of 23.0275 would indicate a wind of 23.0 mi/hr from 275 degrees', '(SSS.SDDD)'
'UR', 'RZZ', 'I', NULL, 1,    NULL, 345, 6, 'Peak wind direction associated with peak wind speed ', '(in tens of degrees)'
'US', 'RZZ', 'I', NULL, 48,    NULL, 346, 6, 'Wind, speed ', '(MI/HR,M/SEC)'
'VB', 'RZZ', 'I', NULL, 22,    NULL, 347, 6, 'Voltage - battery ', '(volt)'
'VC', 'RZZ', 'I', NULL, 59,    NULL, 18, 6, 'Generation, surplus capacity of units on line ', '(megawatts)'
'VE', 'RZZ', 'I', NULL, 25,    NULL, 11, 6, 'Generation, energy total ', '(megawatt hours)'
'VG', 'RZZ', 'I', NULL, 59,    NULL, 18, 6, 'Generation, pumped water, power produced ', '(megawatts)'
'VH', 'RZZ', 'I', NULL, NULL,    NULL, 27, 6, 'Generation, time ', '(HRS)'
'VJ', 'RZZ', 'I', NULL, 25,    NULL, 11, 6, 'Generation, energy produced from pumped water ', '(megawatt hours)'
'VK', 'RZZ', 'I', NULL, 25,    NULL, 11, 6, 'Generation, energy stored in reservoir only ', '(megawatt * "duration")'
'VL', 'RZZ', 'I', NULL, 25,    NULL, 11, 6, 'Generation, storage due to natural flow only ', '(megawatt * "duration")'
'VM', 'RZZ', 'I', NULL, 25,    NULL, 11, 6, 'Generation, losses due to spill and other water losses ', '(megawatt * "duration")'
'VP', 'RZZ', 'I', NULL, 59,    NULL, 18, 6, 'Generation, pumping use, power used ', '(megawatts)'
'VQ', 'RZZ', 'I', NULL, 25,    NULL, 11, 6, 'Generation, pumping use, total energy used ', '(megawatt hours)'
'VR', 'RZZ', 'I', NULL, 25,    NULL, 11, 6, 'Generation, stored in reservoir plus natural flow, energy potential ', '(megawatt * "duration")'
'VS', 'RZZ', 'I', NULL, 25,    NULL, 11, 6, 'Generation, station load, energy used ', '(megawatt hours)'
'VT', 'RZZ', 'I', NULL, 59,    NULL, 18, 6, 'Generation, power total ', '(megawatts)'
'VU', 'RZZ', 'I', NULL, 54,    NULL, 348, 6, 'Generator, status ', '(encoded)'
'VW', 'RZZ', 'I', NULL, 59,    NULL, 18, 6, 'Generation station load, power used ', '(megawatts)'
'WA', 'RZZ', 'I', NULL, 52,    NULL, 349, 6, 'Water, dissolved nitrogen & argon ', '(PPM, MG/L)'
'WC', 'RZZ', 'I', NULL, 16,    NULL, 6, 6, 'Water, conductance ', '(uMHOS/CM)'
'WD', 'RZZ', 'I', NULL, 36,    NULL, 9, 6, 'Water, piezometer water depth ', '(IN, CM)'
'WG', 'RZZ', 'I', NULL, 62,    NULL, 350, 6, 'Water, dissolved total gases, pressure ', '(IN-HG, MM-HG)'
'WH', 'RZZ', 'I', NULL, 52,    NULL, 351, 6, 'Water, dissolved hydrogen sulfide ', '(PPM, MG/L)'
'WL', 'RZZ', 'I', NULL, 52,    NULL, 352, 6, 'Water, suspended sediment ', '(PPM, MG/L)'
'WO', 'RZZ', 'I', NULL, 52,    NULL, 305, 6, 'Water, dissolved oxygen ', '(PPM, MG/L)'
